Account Type,Account Number,Transaction Date,Cheque Number,Description 1,Description 2,CAD$,USD$
Visa,4532123456789012,4/28/2025,,GROCERY STORE VANCOUVER,,-145.92,
Visa,4532123456789012,5/1/2025,,INTERNET SERVICE PROVIDER,,-89.99,
Visa,4532123456789012,5/3/2025,,GAS STATION RICHMOND,,-72.34,
Visa,4532123456789012,5/5/2025,,NETFLIX.COM 866-579-7172,,-16.49,
Visa,4532123456789012,5/7/2025,,COFFEE SHOP DOWNTOWN,,-9.75,
Visa,4532123456789012,5/8/2025,,SPOTIFY USA 877-778-6087,11.99 USD @ 1.4218,-17.04,
Visa,4532123456789012,5/10/2025,,GROCERY STORE VANCOUVER,,-151.67,
Visa,4532123456789012,5/12/2025,,RESTAURANT DOWNTOWN,,-78.90,
Visa,4532123456789012,5/15/2025,,PHARMACY VANCOUVER,,-42.18,
Visa,4532123456789012,5/18/2025,,CLOUD STORAGE INC CLOUDSTORE.COM,9.99 USD @ 1.4206,-14.19,
Visa,4532123456789012,5/20/2025,,AMAZON.CA WWW.AMAZON.CA,,-67.45,
Visa,4532123456789012,5/22/2025,,COFFEE SHOP DOWNTOWN,,-8.00,
Visa,4532123456789012,5/25/2025,,GITHUB.COM 855-448-4820,7.0 USD @ 1.4245,-9.97,
Visa,4532123456789012,5/28/2025,,GROCERY STORE VANCOUVER,,-138.29,
Visa,4532123456789012,6/1/2025,,INTERNET SERVICE PROVIDER,,-89.99,
Visa,4532123456789012,6/3/2025,,GAS STATION RICHMOND,,-68.91,
Visa,4532123456789012,6/5/2025,,NETFLIX.COM 866-579-7172,,-16.49,
Visa,4532123456789012,6/7/2025,,COFFEE SHOP DOWNTOWN,,-7.80,
Visa,4532123456789012,6/8/2025,,SPOTIFY USA 877-778-6087,11.99 USD @ 1.4195,-17.02,
Visa,4532123456789012,6/10/2025,,GROCERY STORE VANCOUVER,,-159.34,
Visa,4532123456789012,6/12/2025,,RESTAURANT DOWNTOWN,,-103.67,
Visa,4532123456789012,6/15/2025,,HARDWARE STORE BURNABY,,-89.23,
Visa,4532123456789012,6/18/2025,,CLOUD STORAGE INC CLOUDSTORE.COM,9.99 USD @ 1.4183,-14.17,
Visa,4532123456789012,6/20/2025,,COFFEE SHOP DOWNTOWN,,-8.95,
Visa,4532123456789012,6/22/2025,,AMAZON.CA WWW.AMAZON.CA,,-124.56,
Visa,4532123456789012,6/25/2025,,GITHUB.COM 855-448-4820,7.0 USD @ 1.4223,-9.96,
Visa,4532123456789012,6/28/2025,,GROCERY STORE VANCOUVER,,-147.82,
Visa,4532123456789012,7/1/2025,,INTERNET SERVICE PROVIDER,,-89.99,
Visa,4532123456789012,7/3/2025,,GAS STATION RICHMOND,,-74.12,
Visa,4532123456789012,7/5/2025,,NETFLIX.COM 866-579-7172,,-16.49,
Visa,4532123456789012,7/7/2025,,COFFEE SHOP DOWNTOWN,,-9.25,
Visa,4532123456789012,7/8/2025,,SPOTIFY USA 877-778-6087,11.99 USD @ 1.4172,-16.99,
Visa,4532123456789012,7/10/2025,,GROCERY STORE VANCOUVER,,-165.78,
Visa,4532123456789012,7/12/2025,,RESTAURANT DOWNTOWN,,-87.45,
Visa,4532123456789012,7/15/2025,,PHARMACY VANCOUVER,,-36.89,
Visa,4532123456789012,7/18/2025,,CLOUD STORAGE INC CLOUDSTORE.COM,9.99 USD @ 1.4160,-14.14,
Visa,4532123456789012,7/20/2025,,COFFEE SHOP DOWNTOWN,,-7.65,
Visa,4532123456789012,7/22/2025,,AMAZON.CA WWW.AMAZON.CA,,-198.34,
Visa,4532123456789012,7/25/2025,,GITHUB.COM 855-448-4820,7.0 USD @ 1.4201,-9.94,
Visa,4532123456789012,7/28/2025,,GROCERY STORE VANCOUVER,,-142.56,
Visa,4532123456789012,8/1/2025,,INTERNET SERVICE PROVIDER,,-89.99,
Visa,4532123456789012,8/3/2025,,GAS STATION RICHMOND,,-70.45,
Visa,4532123456789012,8/5/2025,,NETFLIX.COM 866-579-7172,,-16.49,
Visa,4532123456789012,8/7/2025,,COFFEE SHOP DOWNTOWN,,-8.40,
Visa,4532123456789012,8/8/2025,,SPOTIFY USA 877-778-6087,11.99 USD @ 1.4149,-16.96,
Visa,4532123456789012,8/10/2025,,GROCERY STORE VANCOUVER,,-154.23,
Visa,4532123456789012,8/12/2025,,RESTAURANT DOWNTOWN,,-119.78,
Visa,4532123456789012,8/15/2025,,HARDWARE STORE BURNABY,,-167.89,
Visa,4532123456789012,8/18/2025,,CLOUD STORAGE INC CLOUDSTORE.COM,9.99 USD @ 1.4137,-14.12,
Visa,4532123456789012,8/20/2025,,COFFEE SHOP DOWNTOWN,,-9.50,
Visa,4532123456789012,8/22/2025,,AMAZON.CA WWW.AMAZON.CA,,-73.92,
Visa,4532123456789012,8/25/2025,,GITHUB.COM 855-448-4820,7.0 USD @ 1.4179,-9.93,
Visa,4532123456789012,8/28/2025,,GROCERY STORE VANCOUVER,,-149.67,
Visa,4532123456789012,9/1/2025,,INTERNET SERVICE PROVIDER,,-89.99,
Visa,4532123456789012,9/3/2025,,GAS STATION RICHMOND,,-67.23,
Visa,4532123456789012,9/5/2025,,NETFLIX.COM 866-579-7172,,-16.49,
Visa,4532123456789012,9/7/2025,,COFFEE SHOP DOWNTOWN,,-7.90,
Visa,4532123456789012,9/8/2025,,SPOTIFY USA 877-778-6087,11.99 USD @ 1.4126,-16.93,
Visa,4532123456789012,9/10/2025,,GROCERY STORE VANCOUVER,,-161.45,
Visa,4532123456789012,9/12/2025,,RESTAURANT DOWNTOWN,,-92.34,
Visa,4532123456789012,9/15/2025,,PHARMACY VANCOUVER,,-51.67,
Visa,4532123456789012,9/18/2025,,CLOUD STORAGE INC CLOUDSTORE.COM,9.99 USD @ 1.4114,-14.10,
Visa,4532123456789012,9/20/2025,,COFFEE SHOP DOWNTOWN,,-8.75,
Visa,4532123456789012,9/22/2025,,AMAZON.CA WWW.AMAZON.CA,,-145.28,
Visa,4532123456789012,9/25/2025,,GITHUB.COM 855-448-4820,7.0 USD @ 1.4157,-9.91,
Visa,4532123456789012,9/28/2025,,GROCERY STORE VANCOUVER,,-136.89,
Visa,4532123456789012,10/1/2025,,INTERNET SERVICE PROVIDER,,-89.99,
Visa,4532123456789012,10/3/2025,,GAS STATION RICHMOND,,-72.56,
Visa,4532123456789012,10/5/2025,,NETFLIX.COM 866-579-7172,,-16.49,
Visa,4532123456789012,10/7/2025,,COFFEE SHOP DOWNTOWN,,-9.10,
Visa,4532123456789012,10/8/2025,,SPOTIFY USA 877-778-6087,11.99 USD @ 1.4103,-16.91,
Visa,4532123456789012,10/10/2025,,GROCERY STORE VANCOUVER,,-157.92,
Visa,4532123456789012,10/12/2025,,RESTAURANT DOWNTOWN,,-108.23,
Visa,4532123456789012,10/15/2025,,HARDWARE STORE BURNABY,,-94.56,
Visa,4532123456789012,10/18/2025,,CLOUD STORAGE INC CLOUDSTORE.COM,9.99 USD @ 1.4091,-14.08,
Visa,4532123456789012,10/20/2025,,COFFEE SHOP DOWNTOWN,,-8.20,
Visa,4532123456789012,10/22/2025,,AMAZON.CA WWW.AMAZON.CA,,-86.45,
Visa,4532123456789012,10/25/2025,,GITHUB.COM 855-448-4820,7.0 USD @ 1.4135,-9.89,
Visa,4532123456789012,10/28/2025,,GROCERY STORE VANCOUVER,,-143.78,
Visa,4532123456789012,11/1/2025,,INTERNET SERVICE PROVIDER,,-89.99,
Visa,4532123456789012,11/3/2025,,GAS STATION RICHMOND,,-69.34,
Visa,4532123456789012,11/5/2025,,NETFLIX.COM 866-579-7172,,-16.49,
Visa,4532123456789012,11/7/2025,,COFFEE SHOP DOWNTOWN,,-8.60,
Visa,4532123456789012,11/8/2025,,SPOTIFY USA 877-778-6087,11.99 USD @ 1.4080,-16.88,
Visa,4532123456789012,11/10/2025,,GROCERY STORE VANCOUVER,,-168.56,
Visa,4532123456789012,11/12/2025,,RESTAURANT DOWNTOWN,,-95.67,
Visa,4532123456789012,11/15/2025,,PHARMACY VANCOUVER,,-44.23,
Visa,4532123456789012,11/18/2025,,CLOUD STORAGE INC CLOUDSTORE.COM,9.99 USD @ 1.4068,-14.06,
Visa,4532123456789012,11/20/2025,,COFFEE SHOP DOWNTOWN,,-9.35,
Visa,4532123456789012,11/22/2025,,AMAZON.CA WWW.AMAZON.CA,,-213.45,
Visa,4532123456789012,11/25/2025,,GITHUB.COM 855-448-4820,7.0 USD @ 1.4113,-9.88,
Visa,4532123456789012,11/28/2025,,GROCERY STORE VANCOUVER,,-151.23,
Visa,4532123456789012,12/1/2025,,INTERNET SERVICE PROVIDER,,-89.99,
Visa,4532123456789012,12/3/2025,,GAS STATION RICHMOND,,-71.89,
Visa,4532123456789012,12/5/2025,,NETFLIX.COM 866-579-7172,,-16.49,
Visa,4532123456789012,12/7/2025,,COFFEE SHOP DOWNTOWN,,-7.95,
Visa,4532123456789012,12/8/2025,,SPOTIFY USA 877-778-6087,11.99 USD @ 1.4057,-16.85,
Visa,4532123456789012,12/10/2025,,GROCERY STORE VANCOUVER,,-174.92,
Visa,4532123456789012,12/12/2025,,RESTAURANT DOWNTOWN,,-132.45,
Visa,4532123456789012,12/15/2025,,HARDWARE STORE BURNABY,,-256.78,
Visa,4532123456789012,12/18/2025,,CLOUD STORAGE INC CLOUDSTORE.COM,9.99 USD @ 1.4045,-14.03,
Visa,4532123456789012,12/20/2025,,COFFEE SHOP DOWNTOWN,,-8.85,
Visa,4532123456789012,12/22/2025,,AMAZON.CA WWW.AMAZON.CA,,-189.67,
Visa,4532123456789012,12/25/2025,,GITHUB.COM 855-448-4820,7.0 USD @ 1.4091,-9.86,
Visa,4532123456789012,12/28/2025,,GROCERY STORE VANCOUVER,,-162.34,
